;Appareil suivi;ID logement;Consommation annuelle;Type
0;Audio_TV;311;27.7;Barre De Son
1;Audio_TV;410;15.6;Barre De Son
2;Audio_TV;608;15.4;Barre De Son
3;Audio_TV;302;13.3;Barre De Son 2
4;Audio_TV;202;24.0;Home Cinema
5;Audio_TV;209;0.5;Home Cinema
6;Audio_TV;402;19.9;Home Cinema
7;Audio_TV;405;6.8999999999999995;Home Cinema
8;Audio_TV;602;2.2;Home Cinema
9;Audio_TV;1010;174.89999999999998;Home Cinema
10;Chaudières;102;392.0;GAZ
11;Chaudières;107;278.0;GAZ
12;Chaudières;110;102.5;GAZ
13;Chaudières;201;214.10000000000002;FIOUL
14;Chaudières;206;1067.8000000000002;GAZ
15;Chaudières;210;931.7;GAZ
16;Chaudières;305;402.3;GAZ
17;Chaudières;308;122.0;GAZ
18;Chaudières;309;186.3;GAZ
19;Chaudières;311;292.1;GAZ
20;Chaudières;403;488.9;GAZ
21;Chaudières;404;566.5;GAZ
22;Chaudières;504;192.7;GAZ
23;Chaudières;505;168.1;GAZ
24;Chaudières;508;460.9;GAZ
25;Chaudières;510;203.79999999999998;FIOUL
26;Chaudières;603;654.2;GAZ
27;Chaudières;604;429.9;GAZ
28;Chaudières;605;267.9;GAZ
29;Chaudières;607;405.1;GAZ
30;Chaudières;608;721.6;GAZ
31;Chaudières;702;395.2;GAZ
32;Chaudières;704;904.6999999999999;FIOUL
33;Chaudières;903;249.0;GAZ
34;Chaudières;911;1688.6;FIOUL
35;Chaudières;1004;978.1999999999999;FIOUL
36;Chaudières;1005;133.4;GAZ
37;Chaudières;1009;203.9;GAZ
38;Clim_mob_rafraich_Déshum;310;85.9;CLIMATISEUR SUR PRISE
39;Clim_mob_rafraich_Déshum;102;2781.8;DÉSHUMIDIFCATEUR
40;Clim_mob_rafraich_Déshum;601;191.8;DÉSHUMIDIFCATEUR
41;Clim_mob_rafraich_Déshum;403;29.3;RAFRAICHISSEUR SUR PRISE
42;Clim_mob_rafraich_Déshum;604;15.5;RAFRAICHISSEUR SUR PRISE
43;Congélateur;101;324.70000000000005;ARMOIRE
44;Congélateur;202;235.39999999999998;ARMOIRE
45;Congélateur;203;207.3;ARMOIRE
46;Congélateur;205;538.7;ARMOIRE
47;Congélateur;206;317.9;ARMOIRE
48;Congélateur;209;189.0;ARMOIRE
49;Congélateur;210;1467.1;ARMOIRE
50;Congélateur;303;521.2;ARMOIRE
51;Congélateur;308;890.5;ARMOIRE
52;Congélateur;311;530.9;ARMOIRE
53;Congélateur;405;319.5;ARMOIRE
54;Congélateur;406;610.3;ARMOIRE
55;Congélateur;407;760.2;ARMOIRE
56;Congélateur;503;407.4;ARMOIRE
57;Congélateur;505;316.5;ARMOIRE
58;Congélateur;601;790.9;ARMOIRE
59;Congélateur;604;241.0;ARMOIRE
60;Congélateur;607;459.5;ARMOIRE
61;Congélateur;705;1266.0;ARMOIRE
62;Congélateur;803;622.4000000000001;ARMOIRE
63;Congélateur;804;607.1;ARMOIRE
64;Congélateur;902;527.9000000000001;ARMOIRE
65;Congélateur;907;1784.5;ARMOIRE
66;Congélateur;1003;427.5;ARMOIRE
67;Congélateur;1006;476.6;ARMOIRE
68;Congélateur;1007;363.4;ARMOIRE
69;Congélateur;1010;1158.1;ARMOIRE
70;Congélateur;1010;480.20000000000005;ARMOIRE
71;Congélateur;105;644.1;COFFRE
72;Congélateur;201;1152.7;COFFRE
73;Congélateur;209;292.5;COFFRE
74;Congélateur;210;343.79999999999995;COFFRE
75;Congélateur;403;431.4;COFFRE
76;Congélateur;503;876.6;COFFRE
77;Congélateur;510;1477.2;COFFRE
78;Congélateur;602;441.1;COFFRE
79;Congélateur;603;272.0;COFFRE
80;Congélateur;607;560.0999999999999;COFFRE
81;Congélateur;709;639.9000000000001;COFFRE
82;Congélateur;709;236.60000000000002;COFFRE
83;Congélateur;810;1260.5;COFFRE
84;Congélateur;911;443.70000000000005;COFFRE
85;Congélateur;1010;250.8;COFFRE
86;Congélateur;1011;358.9;COFFRE
87;Cuisinières;601;280.8;FOUR ÉLECTRIQUE + PLAQUES GAZ
88;Cuisinières;101;224.3;FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
89;Cuisinières;311;483.1;FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
90;Cuisinières;503;255.5;FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
91;Cuisinières;302;542.3;FOUR+PLAQUES ÉLECTRIQUES
92;Cuisinières;303;509.6;FOUR+PLAQUES ÉLECTRIQUES
93;Cuisinières;405;46.0;FOUR+PLAQUES ÉLECTRIQUES
94;Cuisinières;409;418.9;FOUR+PLAQUES ÉLECTRIQUES
95;Cuisinières;504;340.1;FOUR+PLAQUES ÉLECTRIQUES
96;Cuisinières;506;147.6;FOUR+PLAQUES ÉLECTRIQUES
97;Cuisinières;507;279.3;FOUR+PLAQUES ÉLECTRIQUES
98;Cuisinières;606;385.6;FOUR+PLAQUES ÉLECTRIQUES
99;Cuisinières;907;208.8;FOUR+PLAQUES ÉLECTRIQUES
100;Cuisinières;1005;443.9;FOUR+PLAQUES ÉLECTRIQUES
101;Divers cuisine;1004;2.8;BLENDER
102;Divers cuisine;606;1.4;CUISSEUR VAPEUR
103;Divers cuisine;1004;34.2;CUISSEUR VAPEUR
104;Divers cuisine;1011;37.2;CUISSEUR VAPEUR
105;Divers cuisine;308;47.5;FRITEUSE
106;Divers cuisine;902;29.3;FRITEUSE
107;Divers cuisine;903;43.8;FRITEUSE
108;Divers cuisine;201;6.6;GRILLE PAIN
109;Divers cuisine;205;10.6;GRILLE PAIN
110;Divers cuisine;209;3.3;RACLETTE
111;Divers cuisine;601;38.900000000000006;RICE COOKER
112;Divers cuisine;907;6.5;RICE COOKER
113;Eau chaude sanitaire;206;1854.5;CETI
114;Eau chaude sanitaire;902;1667.2;CETI
115;Eau chaude sanitaire;1007;1333.6;CETI
116;Eau chaude sanitaire;1011;2590.3999999999996;JOULE / CETI
117;Eau chaude sanitaire;101;1804.6999999999998;JOULE
118;Eau chaude sanitaire;103;2370.5;JOULE
119;Eau chaude sanitaire;201;1493.0;JOULE
120;Eau chaude sanitaire;202;2869.2;JOULE
121;Eau chaude sanitaire;202;1075.8;JOULE
122;Eau chaude sanitaire;203;1785.0;JOULE
123;Eau chaude sanitaire;204;2915.4;JOULE
124;Eau chaude sanitaire;205;2276.8;JOULE
125;Eau chaude sanitaire;207;1833.7;JOULE
126;Eau chaude sanitaire;209;2765.7;JOULE
127;Eau chaude sanitaire;306;3929.2;JOULE
128;Eau chaude sanitaire;310;1778.0;JOULE
129;Eau chaude sanitaire;402;3178.0;JOULE
130;Eau chaude sanitaire;405;1062.3;JOULE
131;Eau chaude sanitaire;406;4681.5;JOULE
132;Eau chaude sanitaire;407;4175.7;JOULE
133;Eau chaude sanitaire;409;3346.2;JOULE
134;Eau chaude sanitaire;410;1536.4;JOULE
135;Eau chaude sanitaire;502;3782.4;JOULE
136;Eau chaude sanitaire;503;6481.8;JOULE
137;Eau chaude sanitaire;506;2855.3;JOULE
138;Eau chaude sanitaire;510;4313.4;JOULE
139;Eau chaude sanitaire;703;4071.3;JOULE
140;Eau chaude sanitaire;705;3949.3;JOULE
141;Eau chaude sanitaire;706;3590.7;JOULE
142;Eau chaude sanitaire;707;2167.5;JOULE
143;Eau chaude sanitaire;709;4977.7;JOULE
144;Eau chaude sanitaire;801;5765.299999999999;JOULE
145;Eau chaude sanitaire;805;4387.0;JOULE
146;Eau chaude sanitaire;806;2875.3999999999996;JOULE
147;Eau chaude sanitaire;807;4750.5;JOULE
148;Eau chaude sanitaire;810;6652.200000000001;JOULE
149;Eau chaude sanitaire;901;1314.8;JOULE
150;Eau chaude sanitaire;905;1345.6;JOULE
151;Eau chaude sanitaire;907;1198.2;JOULE
152;Eau chaude sanitaire;909;2671.0;JOULE
153;Eau chaude sanitaire;911;296.5;JOULE
154;Eau chaude sanitaire;911;2733.5;JOULE
155;Eau chaude sanitaire;912;1549.5;JOULE
156;Eau chaude sanitaire;1001;1178.1;JOULE
157;Eau chaude sanitaire;1002;1499.8;JOULE
158;Eau chaude sanitaire;1003;2510.0;JOULE
159;Eau chaude sanitaire;1006;4608.5;JOULE
160;Eau chaude sanitaire;1010;2865.7;JOULE
161;Hifi;101;1.3;HIFI
162;Hifi;203;6.7;HIFI
163;Hifi;205;95.9;HIFI
164;Hifi;206;98.1;HIFI
165;Hifi;210;27.1;HIFI
166;Hifi;301;31.2;HIFI
167;Hifi;302;45.0;HIFI
168;Hifi;305;5.4;HIFI
169;Hifi;306;134.9;HIFI
170;Hifi;310;1.8;HIFI
171;Hifi;311;87.2;HIFI
172;Hifi;407;2.2;HIFI
173;Hifi;506;9.4;HIFI
174;Hifi;507;121.1;HIFI
175;Hifi;601;165.89999999999998;HIFI
176;Hifi;602;139.6;HIFI
177;Hifi;605;30.4;HIFI
178;Hifi;607;63.900000000000006;HIFI
179;Hifi;702;298.5;HIFI
180;Hifi;703;12.6;HIFI
181;Hifi;704;107.1;HIFI
182;Hifi;705;17.2;HIFI
183;Hifi;706;2.0;HIFI
184;Hifi;707;3.1;HIFI
185;Hifi;709;7.6;HIFI
186;Hifi;805;3.0;HIFI
187;Hifi;903;264.2;HIFI
188;Hifi;911;135.7;HIFI
189;Hifi;912;4.6;HIFI
190;Hifi;1001;4.1;HIFI
191;Hifi;1002;8.7;HIFI
192;Hifi;1005;9.6;HIFI
193;Hifi;1010;27.0;HIFI
194;Hifi;201;10.399999999999999;HIFI 2
195;Imprimantes;201;2.7;JET D'ENCRE
196;Imprimantes;202;9.299999999999999;JET D'ENCRE
197;Imprimantes;204;34.3;JET D'ENCRE
198;Imprimantes;205;3.2;JET D'ENCRE
199;Imprimantes;209;23.3;JET D'ENCRE
200;Imprimantes;210;5.8;JET D'ENCRE
201;Imprimantes;301;1.0;JET D'ENCRE
202;Imprimantes;305;0.5;JET D'ENCRE
203;Imprimantes;308;10.5;JET D'ENCRE
204;Imprimantes;311;21.200000000000003;JET D'ENCRE
205;Imprimantes;404;34.8;JET D'ENCRE
206;Imprimantes;407;55.2;JET D'ENCRE
207;Imprimantes;508;0.5;JET D'ENCRE
208;Imprimantes;510;0.5;JET D'ENCRE
209;Imprimantes;601;19.2;JET D'ENCRE
210;Imprimantes;602;2.4;JET D'ENCRE
211;Imprimantes;603;0.7;JET D'ENCRE
212;Imprimantes;604;22.6;JET D'ENCRE
213;Imprimantes;606;1.2;JET D'ENCRE
214;Imprimantes;709;2.9;JET D'ENCRE
215;Imprimantes;804;18.5;JET D'ENCRE
216;Imprimantes;806;16.9;JET D'ENCRE
217;Imprimantes;810;3.5;JET D'ENCRE
218;Imprimantes;905;0.2;JET D'ENCRE
219;Imprimantes;908;0.5;JET D'ENCRE
220;Imprimantes;1002;3.5;JET D'ENCRE
221;Imprimantes;1004;5.6;JET D'ENCRE
222;Imprimantes;1005;1.0;JET D'ENCRE
223;Imprimantes;1006;24.5;JET D'ENCRE
224;Imprimantes;1007;5.3;JET D'ENCRE
225;Imprimantes;1011;17.6;JET D'ENCRE
226;Imprimantes;105;0.5;LASER
227;Imprimantes;206;64.2;LASER
228;Imprimantes;302;0.9;LASER
229;Imprimantes;410;2.8;LASER
230;Imprimantes;803;26.4;LASER
231;Imprimantes;902;100.0;LASER
232;Imprimantes;907;0.30000000000000004;LASER
233;Imprimantes;1001;2.2;LASER
234;Lave linge;102;76.4;HUBLOT
235;Lave linge;105;386.5;HUBLOT
236;Lave linge;107;20.200000000000003;HUBLOT
237;Lave linge;110;166.2;HUBLOT
238;Lave linge;201;115.5;HUBLOT
239;Lave linge;202;255.5;HUBLOT
240;Lave linge;203;115.7;HUBLOT
241;Lave linge;204;34.4;HUBLOT
242;Lave linge;205;126.1;HUBLOT
243;Lave linge;206;503.7;HUBLOT
244;Lave linge;207;84.9;HUBLOT
245;Lave linge;209;239.7;HUBLOT
246;Lave linge;210;94.8;HUBLOT
247;Lave linge;301;180.5;HUBLOT
248;Lave linge;303;45.6;HUBLOT
249;Lave linge;306;141.3;HUBLOT
250;Lave linge;308;155.8;HUBLOT
251;Lave linge;310;27.0;HUBLOT
252;Lave linge;311;271.4;HUBLOT
253;Lave linge;402;98.0;HUBLOT
254;Lave linge;403;142.3;HUBLOT
255;Lave linge;404;117.0;HUBLOT
256;Lave linge;406;220.39999999999998;HUBLOT
257;Lave linge;409;223.2;HUBLOT
258;Lave linge;502;661.3;HUBLOT
259;Lave linge;503;278.70000000000005;HUBLOT
260;Lave linge;505;164.10000000000002;HUBLOT
