;Appareil suivi;Consommation annuelle;Type
0;Audio_TV;27.7;Barre De Son
1;Audio_TV;15.6;Barre De Son
2;Audio_TV;15.4;Barre De Son
3;Audio_TV;13.3;Barre De Son 2
4;Audio_TV;24.0;Home Cinema
5;Audio_TV;0.5;Home Cinema
6;Audio_TV;19.9;Home Cinema
7;Audio_TV;6.8999999999999995;Home Cinema
8;Audio_TV;2.2;Home Cinema
9;Audio_TV;174.89999999999998;Home Cinema
10;Chaudières;392.0;GAZ
11;Chaudières;278.0;GAZ
12;Chaudières;102.5;GAZ
13;Chaudières;214.10000000000002;FIOUL
14;Chaudières;1067.8000000000002;GAZ
15;Chaudières;931.7;GAZ
16;Chaudières;402.3;GAZ
17;Chaudières;122.0;GAZ
18;Chaudières;186.3;GAZ
19;Chaudières;292.1;GAZ
20;Chaudières;488.9;GAZ
21;Chaudières;566.5;GAZ
22;Chaudières;192.7;GAZ
23;Chaudières;168.1;GAZ
24;Chaudières;460.9;GAZ
25;Chaudières;203.79999999999998;FIOUL
26;Chaudières;654.2;GAZ
27;Chaudières;429.9;GAZ
28;Chaudières;267.9;GAZ
29;Chaudières;405.1;GAZ
30;Chaudières;721.6;GAZ
31;Chaudières;395.2;GAZ
32;Chaudières;904.6999999999999;FIOUL
33;Chaudières;249.0;GAZ
34;Chaudières;1688.6;FIOUL
35;Chaudières;978.1999999999999;FIOUL
36;Chaudières;133.4;GAZ
37;Chaudières;203.9;GAZ
38;Clim_mob_rafraich_Déshum;85.9;CLIMATISEUR SUR PRISE
39;Clim_mob_rafraich_Déshum;2781.8;DÉSHUMIDIFCATEUR
40;Clim_mob_rafraich_Déshum;191.8;DÉSHUMIDIFCATEUR
41;Clim_mob_rafraich_Déshum;29.3;RAFRAICHISSEUR SUR PRISE
42;Clim_mob_rafraich_Déshum;15.5;RAFRAICHISSEUR SUR PRISE
43;Congélateur;324.70000000000005;ARMOIRE
44;Congélateur;235.39999999999998;ARMOIRE
45;Congélateur;207.3;ARMOIRE
46;Congélateur;538.7;ARMOIRE
47;Congélateur;317.9;ARMOIRE
48;Congélateur;189.0;ARMOIRE
49;Congélateur;1467.1;ARMOIRE
50;Congélateur;521.2;ARMOIRE
51;Congélateur;890.5;ARMOIRE
52;Congélateur;530.9;ARMOIRE
53;Congélateur;319.5;ARMOIRE
54;Congélateur;610.3;ARMOIRE
55;Congélateur;760.2;ARMOIRE
56;Congélateur;407.4;ARMOIRE
57;Congélateur;316.5;ARMOIRE
58;Congélateur;790.9;ARMOIRE
59;Congélateur;241.0;ARMOIRE
60;Congélateur;459.5;ARMOIRE
61;Congélateur;1266.0;ARMOIRE
62;Congélateur;622.4000000000001;ARMOIRE
63;Congélateur;607.1;ARMOIRE
64;Congélateur;527.9000000000001;ARMOIRE
65;Congélateur;1784.5;ARMOIRE
66;Congélateur;427.5;ARMOIRE
67;Congélateur;476.6;ARMOIRE
68;Congélateur;363.4;ARMOIRE
69;Congélateur;1158.1;ARMOIRE
70;Congélateur;480.20000000000005;ARMOIRE
71;Congélateur;644.1;COFFRE
72;Congélateur;1152.7;COFFRE
73;Congélateur;292.5;COFFRE
74;Congélateur;343.79999999999995;COFFRE
75;Congélateur;431.4;COFFRE
76;Congélateur;876.6;COFFRE
77;Congélateur;1477.2;COFFRE
78;Congélateur;441.1;COFFRE
79;Congélateur;272.0;COFFRE
80;Congélateur;560.0999999999999;COFFRE
81;Congélateur;639.9000000000001;COFFRE
82;Congélateur;236.60000000000002;COFFRE
83;Congélateur;1260.5;COFFRE
84;Congélateur;443.70000000000005;COFFRE
85;Congélateur;250.8;COFFRE
86;Congélateur;358.9;COFFRE
87;Cuisinières;280.8;FOUR ÉLECTRIQUE + PLAQUES GAZ
88;Cuisinières;224.3;FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
89;Cuisinières;483.1;FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
90;Cuisinières;255.5;FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE
91;Cuisinières;542.3;FOUR+PLAQUES ÉLECTRIQUES
92;Cuisinières;509.6;FOUR+PLAQUES ÉLECTRIQUES
93;Cuisinières;46.0;FOUR+PLAQUES ÉLECTRIQUES
94;Cuisinières;418.9;FOUR+PLAQUES ÉLECTRIQUES
95;Cuisinières;340.1;FOUR+PLAQUES ÉLECTRIQUES
96;Cuisinières;147.6;FOUR+PLAQUES ÉLECTRIQUES
97;Cuisinières;279.3;FOUR+PLAQUES ÉLECTRIQUES
98;Cuisinières;385.6;FOUR+PLAQUES ÉLECTRIQUES
99;Cuisinières;208.8;FOUR+PLAQUES ÉLECTRIQUES
100;Cuisinières;443.9;FOUR+PLAQUES ÉLECTRIQUES
101;Divers cuisine;2.8;BLENDER
102;Divers cuisine;1.4;CUISSEUR VAPEUR
103;Divers cuisine;34.2;CUISSEUR VAPEUR
104;Divers cuisine;37.2;CUISSEUR VAPEUR
105;Divers cuisine;47.5;FRITEUSE
106;Divers cuisine;29.3;FRITEUSE
107;Divers cuisine;43.8;FRITEUSE
108;Divers cuisine;6.6;GRILLE PAIN
109;Divers cuisine;10.6;GRILLE PAIN
110;Divers cuisine;3.3;RACLETTE
111;Divers cuisine;38.900000000000006;RICE COOKER
112;Divers cuisine;6.5;RICE COOKER
113;Eau chaude sanitaire;1854.5;CETI
114;Eau chaude sanitaire;1667.2;CETI
115;Eau chaude sanitaire;1333.6;CETI
116;Eau chaude sanitaire;2590.3999999999996;JOULE / CETI
117;Eau chaude sanitaire;1804.6999999999998;JOULE
118;Eau chaude sanitaire;2370.5;JOULE
119;Eau chaude sanitaire;1493.0;JOULE
120;Eau chaude sanitaire;2869.2;JOULE
121;Eau chaude sanitaire;1075.8;JOULE
122;Eau chaude sanitaire;1785.0;JOULE
123;Eau chaude sanitaire;2915.4;JOULE
124;Eau chaude sanitaire;2276.8;JOULE
125;Eau chaude sanitaire;1833.7;JOULE
126;Eau chaude sanitaire;2765.7;JOULE
127;Eau chaude sanitaire;3929.2;JOULE
128;Eau chaude sanitaire;1778.0;JOULE
129;Eau chaude sanitaire;3178.0;JOULE
130;Eau chaude sanitaire;1062.3;JOULE
131;Eau chaude sanitaire;4681.5;JOULE
132;Eau chaude sanitaire;4175.7;JOULE
133;Eau chaude sanitaire;3346.2;JOULE
134;Eau chaude sanitaire;1536.4;JOULE
135;Eau chaude sanitaire;3782.4;JOULE
136;Eau chaude sanitaire;6481.8;JOULE
137;Eau chaude sanitaire;2855.3;JOULE
138;Eau chaude sanitaire;4313.4;JOULE
139;Eau chaude sanitaire;4071.3;JOULE
140;Eau chaude sanitaire;3949.3;JOULE
141;Eau chaude sanitaire;3590.7;JOULE
142;Eau chaude sanitaire;2167.5;JOULE
143;Eau chaude sanitaire;4977.7;JOULE
144;Eau chaude sanitaire;5765.299999999999;JOULE
145;Eau chaude sanitaire;4387.0;JOULE
146;Eau chaude sanitaire;2875.3999999999996;JOULE
147;Eau chaude sanitaire;4750.5;JOULE
148;Eau chaude sanitaire;6652.200000000001;JOULE
149;Eau chaude sanitaire;1314.8;JOULE
150;Eau chaude sanitaire;1345.6;JOULE
151;Eau chaude sanitaire;1198.2;JOULE
152;Eau chaude sanitaire;2671.0;JOULE
153;Eau chaude sanitaire;296.5;JOULE
154;Eau chaude sanitaire;2733.5;JOULE
155;Eau chaude sanitaire;1549.5;JOULE
156;Eau chaude sanitaire;1178.1;JOULE
157;Eau chaude sanitaire;1499.8;JOULE
158;Eau chaude sanitaire;2510.0;JOULE
159;Eau chaude sanitaire;4608.5;JOULE
160;Eau chaude sanitaire;2865.7;JOULE
161;Hifi;1.3;HIFI
162;Hifi;6.7;HIFI
163;Hifi;95.9;HIFI
164;Hifi;98.1;HIFI
165;Hifi;27.1;HIFI
166;Hifi;31.2;HIFI
167;Hifi;45.0;HIFI
168;Hifi;5.4;HIFI
169;Hifi;134.9;HIFI
170;Hifi;1.8;HIFI
171;Hifi;87.2;HIFI
172;Hifi;2.2;HIFI
173;Hifi;9.4;HIFI
174;Hifi;121.1;HIFI
175;Hifi;165.89999999999998;HIFI
176;Hifi;139.6;HIFI
177;Hifi;30.4;HIFI
178;Hifi;63.900000000000006;HIFI
179;Hifi;298.5;HIFI
180;Hifi;12.6;HIFI
181;Hifi;107.1;HIFI
182;Hifi;17.2;HIFI
183;Hifi;2.0;HIFI
184;Hifi;3.1;HIFI
185;Hifi;7.6;HIFI
186;Hifi;3.0;HIFI
187;Hifi;264.2;HIFI
188;Hifi;135.7;HIFI
189;Hifi;4.6;HIFI
190;Hifi;4.1;HIFI
191;Hifi;8.7;HIFI
192;Hifi;9.6;HIFI
193;Hifi;27.0;HIFI
194;Hifi;10.399999999999999;HIFI 2
195;Imprimantes;2.7;JET D'ENCRE
